id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
loc:2008557203,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,瘡瘍經驗全書,Chuang yang jing yan quan shu : shi san juan,"Dou, Mo, 1196-1280；Chen, Yougong, active 17th century-18th century, ke；Hao ran lou (China), ke；Chinese Rare Book Collection (Library of Congress)",1717,1717,,,https://www.loc.gov/item/2008557203/manifest.json,https://www.loc.gov/item/2008557203/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,,,,"Skin--Diseases--Treatment--Early works to 1800 Skin--Ulcers--Early works to 1800 Medicine, Chinese--Early works to 1800 Pharmacy--China--Early works to 1800 Zi bu--Yi jia lei--Qing 子部--醫家類--清"
loc:2012402241,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,醫方考,Yi fang kao : liu juan,"Wu, Kun, 1552-1620, zhu；Chinese Rare Book Collection (Library of Congress)",1584,1584,,,https://www.loc.gov/item/2012402241/manifest.json,https://www.loc.gov/item/2012402241/,The Library of Congress is unaware of any copyright or other restrictions in the World Digital Library Collection. Absen,jc:医方考,jc_d023,exact,Zi bu--Yi jia lei 子部--醫家類
loc:2012402594,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,本草綱目,"Ben cao gang mu : wu shi er juan, tu san juan, Wan fang zhen xian ba juan","Li, Shizhen, 1518-1593, bian ji；Wu, Yuchang, active 17th century, ke；Wu, Xi, 1710- , xu；Qian, Weiqi, active 1640, xiao yin；Li, Jianyuan, shu；Cai, Liexian, active 17th century-18th century；Chinese Rare Book Collection (Library of Congress)",1655,1655,,,https://www.loc.gov/item/2012402594/manifest.json,https://www.loc.gov/item/2012402594/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,bencao_gangmu,bencao_gangmu_skqs,exact,Zi bu--Yi jia lei 子部--醫家類
loc:2012402646,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,證治準繩,Zheng zhi zhun sheng : ba ce,"Wang, Kentang, jin shi 1589；Chinese Rare Book Collection (Library of Congress)",1602,1602,,,https://www.loc.gov/item/2012402646/manifest.json,https://www.loc.gov/item/2012402646/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,zhengzhi_zhunsheng,zhengzhi_zhunsheng,exact,"Medicine, Chinese--Early works to 1800"
loc:2012402647,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,編註醫學入門,"Bian zhu Yi xue ru men : qi juan, juan shou yi juan","Li, Chan, active 1573-1619；Yu yu tang, cang ban；Chinese Rare Book Collection (Library of Congress)",1575,1575,,,https://www.loc.gov/item/2012402647/manifest.json,https://www.loc.gov/item/2012402647/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,,,,"Medicine, Chinese--Early works to 1800"
loc:2012402651,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,醫壘元戎,Yi lei yuan rong : shi er juan,"Wang, Haogu, active 1298-1308；Tu, Benjun, -1622, chong kan；Yan, Changshi, jiao zheng；Gu, Sui, xu；Qi, Cai, xu；Chinese Rare Book Collection (Library of Congress)",1593,1593,,,https://www.loc.gov/item/2012402651/manifest.json,https://www.loc.gov/item/2012402651/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,yilei_yuanrong,jc_o053,exact,"Medicine, Chinese--Formulae, receipts, prescriptions--Early works to 1800"
loc:2012402725,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,重修政和經史證類備用本草,Chong xiu Zhenghe jing shi zheng lei bei yong ben cao : san shi juan,"Tang, Shenwei, active 11th century-12th century, xu；Shang, Lu, 1414-1486, xu；Chen, Fengwu, active 1523, xu；Chinese Rare Book Collection (Library of Congress)",1523,1523,,,https://www.loc.gov/item/2012402725/manifest.json,https://www.loc.gov/item/2012402725/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,zhenglei,zhenghe_bencao,exact,"Medicine, Chinese--Formulae, receipts, prescriptions--Early works to 1800"
loc:2012402727,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,重修政和經史證類備用本草,Chong xiu Zhenghe jing shi zheng lei bei yong ben cao : san shi juan,"Tang, Shenwei, active 11th century-12th century, xu；Fu, Xizhi, ke, xu；Wu, Congxian, xu；Shi, Duchen, 1530-1574, ke, xu；Shang, Lu, 1414-1486, xu；Chen, Fengwu, active 1523, xu；Wang, Ji, active 1552, xu；Xiang, Tingji, xu；Ma, Sancai, xu；Chinese Rare Book Collection (Library of Congress)",1572,1572,,,https://www.loc.gov/item/2012402727/manifest.json,https://www.loc.gov/item/2012402727/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,zhenglei,zhenghe_bencao,exact,"Medicine, Chinese--Formulae, receipts, prescriptions--Early works to 1800"
loc:2012402734,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,重修政和經史證類備用本草,Chong xiu zheng he jing shi zheng lei bei yong ben cao : san shi juan,"Tang, Shenwei, active 11th century-12th century；Xiang, Tingji, xu；Ma, Sancai, xu；Shang, Lu, 1414-1486, xu；Chen, Fengwu, active 1523, xu；Chinese Rare Book Collection (Library of Congress)",1625,1625,,,https://www.loc.gov/item/2012402734/manifest.json,https://www.loc.gov/item/2012402734/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,zhenglei,zhenghe_bencao,exact,"Medicine, Chinese--Formulae, receipts, prescriptions--Early works to 1800"
loc:2012402735,loc:chinese-rare-books,"Library of Congress, Asian Division",Chinese Rare Books,重刊經史證類大全本草,Chong kan jing shi zheng lei da quan ben cao : san shi yi juan,"Tang, Shenwei, active 11th century-12th century；Yang, Bida, xu；Qin, Fengyi, xu；Peng, Duanwu, xu；Mei, Shoude, 1510-1577, xu；Jin, Li, active 1610, xu；Wang, Daxian, hou xu；Chinese Rare Book Collection (Library of Congress)",1657,1657,,,https://www.loc.gov/item/2012402735/manifest.json,https://www.loc.gov/item/2012402735/,仅供教育与研究在线阅览，不授予第三方再利用权（与台湾“国家图书馆”合作数字化）,,,,"Medicine, Chinese--Formulae, receipts, prescriptions--Early works to 1800"
