id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
ndl:1287025,ndl,国立国会図書館,NDLデジタルコレクション,本草綱目 52卷圖2卷,,,萬暦18 (1590) 序,1590,,,https://dl.ndl.go.jp/api/iiif/1287025/manifest.json,https://dl.ndl.go.jp/pid/1287025,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,bencao_gangmu,bencao_gangmu_skqs,without-volumes,書名は巻頭による. 後補の刷り題簽書名: 本艸綱目 (角書: 久壽堂)；「輯書姓氏」末に「金陵後學胡承龍梓行」とあり；万暦18年王世貞の序あり；第27冊巻末に天保15年田澤仲舒の識語あり；『國立國會圖書館漢籍目録』365頁左；『國立國會圖書館漢籍目録』記載の請求記号: 205-5；1590
ndl:13380775,ndl,国立国会図書館,NDLデジタルコレクション,新刊素問入式運氣論奧3卷,,,寛文11,1671,,,https://dl.ndl.go.jp/api/iiif/13380775/manifest.json,https://dl.ndl.go.jp/pid/13380775,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yunqi_lunao,suwen_yunqi_lunao,without-print-prefix,『國立國會圖書館漢籍目録』355頁右；1671
ndl:13386684,ndl,国立国会図書館,NDLデジタルコレクション,新刊素問入式運氣論奧3卷,,,寛文11,1671,,,https://dl.ndl.go.jp/api/iiif/13386684/manifest.json,https://dl.ndl.go.jp/pid/13386684,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yunqi_lunao,suwen_yunqi_lunao,without-print-prefix,装丁 : 綫装；『國立國會圖書館漢籍目録』355頁右；1671
ndl:13386686,ndl,国立国会図書館,NDLデジタルコレクション,新刊素問入式運氣論奧3卷,,,寛文11,1671,,,https://dl.ndl.go.jp/api/iiif/13386686/manifest.json,https://dl.ndl.go.jp/pid/13386686,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yunqi_lunao,suwen_yunqi_lunao,without-print-prefix,装丁 : 綫装；『國立國會圖書館漢籍目録』355頁右；1671
ndl:14486790,ndl,国立国会図書館,NDLデジタルコレクション,傷寒論10卷,,,寛文8,1668,,,https://dl.ndl.go.jp/api/iiif/14486790/manifest.json,https://dl.ndl.go.jp/pid/14486790,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,shanghanlun,jc_b000,without-volumes,『國立國會圖書館漢籍目録』357頁左；1668
ndl:14487932,ndl,国立国会図書館,NDLデジタルコレクション,新刊素問入式運氣論奧3卷,,,正保3刊,1646,刊,,https://dl.ndl.go.jp/api/iiif/14487932/manifest.json,https://dl.ndl.go.jp/pid/14487932,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yunqi_lunao,suwen_yunqi_lunao,without-print-prefix,『國立國會圖書館漢籍目録』355頁右；1646
ndl:14487933,ndl,国立国会図書館,NDLデジタルコレクション,新刊素問入式運氣論奧3卷,,,寛文11,1671,,,https://dl.ndl.go.jp/api/iiif/14487933/manifest.json,https://dl.ndl.go.jp/pid/14487933,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yunqi_lunao,suwen_yunqi_lunao,without-print-prefix,『國立國會圖書館漢籍目録』355頁右；1671
ndl:14487934,ndl,国立国会図書館,NDLデジタルコレクション,格致餘論1卷,,,元祿2跋,1689,,,https://dl.ndl.go.jp/api/iiif/14487934/manifest.json,https://dl.ndl.go.jp/pid/14487934,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,gezhi_yulun,gezhi_yulun,without-volumes,『國立國會圖書館漢籍目録』355頁右；1689
ndl:14487935,ndl,国立国会図書館,NDLデジタルコレクション,傷寒論10卷,,,寛文8,1668,,,https://dl.ndl.go.jp/api/iiif/14487935/manifest.json,https://dl.ndl.go.jp/pid/14487935,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,shanghanlun,jc_b000,without-volumes,装丁 : 綫装；『國立國會圖書館漢籍目録』357頁左；1668
ndl:14487936,ndl,国立国会図書館,NDLデジタルコレクション,傷寒論10卷,,,寛文8,1668,,,https://dl.ndl.go.jp/api/iiif/14487936/manifest.json,https://dl.ndl.go.jp/pid/14487936,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,shanghanlun,jc_b000,without-volumes,装丁 : 綫装；『國立國會圖書館漢籍目録』357頁左；1668
ndl:14670190,ndl,国立国会図書館,NDLデジタルコレクション,医心方 : 30巻,,"丹波, 康頼, 912-995",[江戸末期],1800,,,https://dl.ndl.go.jp/api/iiif/14670190/manifest.json,https://dl.ndl.go.jp/pid/14670190,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yixinfang,jc_d005,without-volumes,安政6年覆校とあり；包背装；1800
ndl:14670971,ndl,国立国会図書館,NDLデジタルコレクション,医心方 : 30巻,,"丹波, 康頼, 912-995",[江戸末期],1800,,,https://dl.ndl.go.jp/api/iiif/14670971/manifest.json,https://dl.ndl.go.jp/pid/14670971,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yixinfang,jc_d005,without-volumes,"装丁 : 和装；安政6年覆校とあり；包背装；印記: 東京博物館印, 教育博物館印/明治九年五月十一日交付；1800"
ndl:14670972,ndl,国立国会図書館,NDLデジタルコレクション,医心方 : 30巻,,"丹波, 康頼, 912-995",[江戸末期],1800,,,https://dl.ndl.go.jp/api/iiif/14670972/manifest.json,https://dl.ndl.go.jp/pid/14670972,NDL デジタルコレクション（保護期間満了のインターネット公開資料は自由に利用可）,yixinfang,jc_d005,without-volumes,"装丁 : 和装；安政6年覆校とあり；包背装；印記: 東京博物館印, 教育博物館印/明治九年五月十一日交付；1800"
