id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
nijl:100241250,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,詩学便覧,しがくべんらん,,,,,Ｆ‐シ‐１,https://kokusho.nijl.ac.jp/biblio/100241250/manifest,https://kokusho.nijl.ac.jp/biblio/100241250,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００１
nijl:100241252,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,詩歌抄録,しいかしょうろく,,,,,Ｆ‐シ‐３,https://kokusho.nijl.ac.jp/biblio/100241252/manifest,https://kokusho.nijl.ac.jp/biblio/100241252,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００２
nijl:100241260,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,耳眼詳説,じがんしょうせつ,,,,,Ｆ‐シ‐５,https://kokusho.nijl.ac.jp/biblio/100241260/manifest,https://kokusho.nijl.ac.jp/biblio/100241260,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００３
nijl:100241263,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,時還読我書,じかんどくがしょ,,,,,Ｆ‐シ‐７,https://kokusho.nijl.ac.jp/biblio/100241263/manifest,https://kokusho.nijl.ac.jp/biblio/100241263,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００４
nijl:100241266,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,時還讀我書,じかんどくがしょ,,,,,Ｆ‐シ‐８,https://kokusho.nijl.ac.jp/biblio/100241266/manifest,https://kokusho.nijl.ac.jp/biblio/100241266,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００５０００Ｅ
nijl:100241283,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,詩経,しきょう,,,,,Ｆ‐シ‐９,https://kokusho.nijl.ac.jp/biblio/100241283/manifest,https://kokusho.nijl.ac.jp/biblio/100241283,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００６
nijl:100241285,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,詩語砕金,しごさいきん,,,,,Ｆ‐シ‐１０,https://kokusho.nijl.ac.jp/biblio/100241285/manifest,https://kokusho.nijl.ac.jp/biblio/100241285,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００７
nijl:100241291,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,自邇斎医談,じじさいいだん,,,,,Ｆ‐シ‐１１,https://kokusho.nijl.ac.jp/biblio/100241291/manifest,https://kokusho.nijl.ac.jp/biblio/100241291,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００８
nijl:100241292,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,痔疾一家伝,じしついっかでん,,,,,Ｆ‐シ‐１２,https://kokusho.nijl.ac.jp/biblio/100241292/manifest,https://kokusho.nijl.ac.jp/biblio/100241292,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ００００９
nijl:100241294,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,時習録,じしゅうろく,,,,,Ｆ‐シ‐１３,https://kokusho.nijl.ac.jp/biblio/100241294/manifest,https://kokusho.nijl.ac.jp/biblio/100241294,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１０
nijl:100241296,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,死症考,ししょうこう,,,,,Ｆ‐シ‐１４,https://kokusho.nijl.ac.jp/biblio/100241296/manifest,https://kokusho.nijl.ac.jp/biblio/100241296,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１１
nijl:100241320,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,示兒録,しじろく,,,,,Ｆ‐シ‐１６,https://kokusho.nijl.ac.jp/biblio/100241320/manifest,https://kokusho.nijl.ac.jp/biblio/100241320,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１２０００Ｅ
nijl:100241333,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,四診備要,ししんびよう,,,,,Ｆ‐シ‐１７,https://kokusho.nijl.ac.jp/biblio/100241333/manifest,https://kokusho.nijl.ac.jp/biblio/100241333,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１３
nijl:100241335,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,痔脱肛天泡瘡,じだっこうてんほうそう,,,,,Ｆ‐シ‐１８,https://kokusho.nijl.ac.jp/biblio/100241335/manifest,https://kokusho.nijl.ac.jp/biblio/100241335,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１４
nijl:100241339,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,師談録,しだんろく,,,,,Ｆ‐シ‐１９,https://kokusho.nijl.ac.jp/biblio/100241339/manifest,https://kokusho.nijl.ac.jp/biblio/100241339,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１５
nijl:100241340,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,七新薬,しちしんやく,,,,,Ｆ‐シ‐２０,https://kokusho.nijl.ac.jp/biblio/100241340/manifest,https://kokusho.nijl.ac.jp/biblio/100241340,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１６
nijl:100241346,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,実学掌器宝,じつがくしょうきほう,,,,,Ｆ‐シ‐２１,https://kokusho.nijl.ac.jp/biblio/100241346/manifest,https://kokusho.nijl.ac.jp/biblio/100241346,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１７
nijl:100241383,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,外科各論,げかかくろん,,,,,Ｆ‐シ‐２２,https://kokusho.nijl.ac.jp/biblio/100241383/manifest,https://kokusho.nijl.ac.jp/biblio/100241383,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１８
nijl:100241399,nijl:keio-fujikawa,慶應義塾大学信濃町メディアセンター（富士川文庫）,,漆瘡・蠟瘡・膏毒,しつろうろうそうこうどく,,,,,Ｆ‐シ‐２３,https://kokusho.nijl.ac.jp/biblio/100241399/manifest,https://kokusho.nijl.ac.jp/biblio/100241399,CC BY-NC-SA 4.0,,,,画像請求記号 ＤＩＧＫＥＩＯ０００１９
