id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
nijl:100252826,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,医聖堂古代医書叢,いせいどうこだいいしょそう,,,,,イ／１９５,https://kokusho.nijl.ac.jp/biblio/100252826/manifest,https://kokusho.nijl.ac.jp/biblio/100252826,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００２０９－０００Ｃ
nijl:100252840,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,今川義元伝書,いまがわよしもとでんしょ,,,,,イ／３１０,https://kokusho.nijl.ac.jp/biblio/100252840/manifest,https://kokusho.nijl.ac.jp/biblio/100252840,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００２１６
nijl:100252842,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,暘谷斎医法,えきこくさいいほう,,,,,エ／１４,https://kokusho.nijl.ac.jp/biblio/100252842/manifest,https://kokusho.nijl.ac.jp/biblio/100252842,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００２１７
nijl:100252843,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,大須真福寺所蔵故紙中渉医事者抄写,おおすしんぷくじしょぞうこしちゅうしょういじしゃしょうしゃ,,,,,オ／７０,https://kokusho.nijl.ac.jp/biblio/100252843/manifest,https://kokusho.nijl.ac.jp/biblio/100252843,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００２１８
nijl:100252863,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,家伝丸散方,かでんがんさんほう,,,,,カ／１６０,https://kokusho.nijl.ac.jp/biblio/100252863/manifest,https://kokusho.nijl.ac.jp/biblio/100252863,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００２１９
nijl:100252867,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鈔録,しょうろく,,,,,シ／４６３,https://kokusho.nijl.ac.jp/biblio/100252867/manifest,https://kokusho.nijl.ac.jp/biblio/100252867,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３１９
nijl:100252868,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,真医刊謬論,しんいかんびゅうろん,,,,,シ／４７１,https://kokusho.nijl.ac.jp/biblio/100252868/manifest,https://kokusho.nijl.ac.jp/biblio/100252868,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２０
nijl:100252869,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,神遺方講義,しんいほうこうぎ,,,,,シ／４８０,https://kokusho.nijl.ac.jp/biblio/100252869/manifest,https://kokusho.nijl.ac.jp/biblio/100252869,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２１
nijl:100252870,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鍼学発矇訓,しんがくはつもうくん,,,,,シ／４８２,https://kokusho.nijl.ac.jp/biblio/100252870/manifest,https://kokusho.nijl.ac.jp/biblio/100252870,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２２
nijl:100252871,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鍼灸合類,しんきゅうごうるい,,,,,シ／４９８,https://kokusho.nijl.ac.jp/biblio/100252871/manifest,https://kokusho.nijl.ac.jp/biblio/100252871,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２３
nijl:100252872,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鍼灸集要,しんきゅうしゅうよう,,,,,シ／５０７,https://kokusho.nijl.ac.jp/biblio/100252872/manifest,https://kokusho.nijl.ac.jp/biblio/100252872,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２４
nijl:100252873,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鍼灸集要,しんきゅうしゅうよう,,,,,シ／５０８,https://kokusho.nijl.ac.jp/biblio/100252873/manifest,https://kokusho.nijl.ac.jp/biblio/100252873,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２５
nijl:100252874,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,（神農皇帝真伝）鍼灸図,しんのうこうていしんでんしんきゅうず,,,,,シ／５１１,https://kokusho.nijl.ac.jp/biblio/100252874/manifest,https://kokusho.nijl.ac.jp/biblio/100252874,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２６
nijl:100252875,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,鍼灸枢要,しんきゅうすうよう,,,,,シ／５１２,https://kokusho.nijl.ac.jp/biblio/100252875/manifest,https://kokusho.nijl.ac.jp/biblio/100252875,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２７
nijl:100252876,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,診極図説,しんきょくずせつ,,,,,シ／５４２,https://kokusho.nijl.ac.jp/biblio/100252876/manifest,https://kokusho.nijl.ac.jp/biblio/100252876,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２８
nijl:100252877,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,診極図説,しんきょくずせつ,,,,,シ／５４３,https://kokusho.nijl.ac.jp/biblio/100252877/manifest,https://kokusho.nijl.ac.jp/biblio/100252877,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３２９
nijl:100252878,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,診尺録,しんしゃくろく,,,,,シ／５５８,https://kokusho.nijl.ac.jp/biblio/100252878/manifest,https://kokusho.nijl.ac.jp/biblio/100252878,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３３０
nijl:100252879,nijl:kyoto-fujikawa,京都大学附属図書館（富士川文庫）,富士川文庫,身心養生記,しんしんようじょうき,,,,,シ／５７４,https://kokusho.nijl.ac.jp/biblio/100252879/manifest,https://kokusho.nijl.ac.jp/biblio/100252879,利用条件见 https://rmda.kulib.kyoto-u.ac.jp/reuse,,,,画像請求記号 ＤＩＧ－ＫＹＯＴ－００３３１
