id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
nijl:100350471,nijl:tohoku-medlib,東北大学附属図書館医学分館,,天巧品類,てんこうひんるい,,,,,石田１１４（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350471/manifest,https://kokusho.nijl.ac.jp/biblio/100350471,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６８５
nijl:100350472,nijl:tohoku-medlib,東北大学附属図書館医学分館,,外療新明集,がいりょうしんめいしゅう,,,,,山形２９（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350472/manifest,https://kokusho.nijl.ac.jp/biblio/100350472,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６８６
nijl:100350473,nijl:tohoku-medlib,東北大学附属図書館医学分館,,玄醫方考,げんいほうこう,,,,,石田１８７（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350473/manifest,https://kokusho.nijl.ac.jp/biblio/100350473,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６８７
nijl:100350474,nijl:tohoku-medlib,東北大学附属図書館医学分館,,古醫書・治療法,こいしょちりょうほう,,,,,石田３７３（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350474/manifest,https://kokusho.nijl.ac.jp/biblio/100350474,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６８８
nijl:100350475,nijl:tohoku-medlib,東北大学附属図書館医学分館,,省斎蔵書目録／医書部,せいさいぞうしょもくろく／いしょぶ,,,,,石田９５（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350475/manifest,https://kokusho.nijl.ac.jp/biblio/100350475,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６８９
nijl:100350476,nijl:tohoku-medlib,東北大学附属図書館医学分館,,観文禽譜目録,かんぶんきんぷもくろく,,,,,石田１０５（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350476/manifest,https://kokusho.nijl.ac.jp/biblio/100350476,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６９０
nijl:100350477,nijl:tohoku-medlib,東北大学附属図書館医学分館,,救荒本草通解,きゅうこうほんぞうつうかい,,,,,石田１０７（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350477/manifest,https://kokusho.nijl.ac.jp/biblio/100350477,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６９１
nijl:100350478,nijl:tohoku-medlib,東北大学附属図書館医学分館,,救荒野譜通解,きゅうこうやふつうかい,,,,,石田１０８（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350478/manifest,https://kokusho.nijl.ac.jp/biblio/100350478,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６９２
nijl:100350479,nijl:tohoku-medlib,東北大学附属図書館医学分館,,救荒略,きゅうこうりゃく,,,,,石田１０９（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350479/manifest,https://kokusho.nijl.ac.jp/biblio/100350479,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６９３
nijl:100350480,nijl:tohoku-medlib,東北大学附属図書館医学分館,,萬病回春名物考,まんびょうかいしゅんめいぶつこう,,,,,石田１２２（医学分館）,https://kokusho.nijl.ac.jp/biblio/100350480/manifest,https://kokusho.nijl.ac.jp/biblio/100350480,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＨＫＬ－００６９４
