id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
nijl:100239651,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,有毒草木圖説,ゆうどくそうもくずせつ,,,,,Ｔ８１：２１６,https://kokusho.nijl.ac.jp/biblio/100239651/manifest,https://kokusho.nijl.ac.jp/biblio/100239651,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００３９
nijl:100239653,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,廣參説,こうじんせつ,,,,,Ｔ８１：２１９,https://kokusho.nijl.ac.jp/biblio/100239653/manifest,https://kokusho.nijl.ac.jp/biblio/100239653,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４０
nijl:100239690,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,人參攷,じんさんこう,,,,,Ｔ８１：２２９,https://kokusho.nijl.ac.jp/biblio/100239690/manifest,https://kokusho.nijl.ac.jp/biblio/100239690,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４８
nijl:100239886,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,艸木寫眞集,そうもくしゃしんしゅう,,,,,Ｔ８１：２２０,https://kokusho.nijl.ac.jp/biblio/100239886/manifest,https://kokusho.nijl.ac.jp/biblio/100239886,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４１
nijl:100239892,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,食物和歌本草増補,しょくもつわかほんぞうぞうほ,,,,,Ｔ８１：２２１,https://kokusho.nijl.ac.jp/biblio/100239892/manifest,https://kokusho.nijl.ac.jp/biblio/100239892,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４３
nijl:100239894,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,西洋醫事集成寶凾,せいよういじしゅうせいほうかん,,,,,Ｔ８１：２２２,https://kokusho.nijl.ac.jp/biblio/100239894/manifest,https://kokusho.nijl.ac.jp/biblio/100239894,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４４
nijl:100239895,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,小品考,しょうひんこう,,,,,Ｔ８１：２２３,https://kokusho.nijl.ac.jp/biblio/100239895/manifest,https://kokusho.nijl.ac.jp/biblio/100239895,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４５
nijl:100239896,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,桃洞遺筆,とうどういひつ,,,,,Ｔ８１：２２６,https://kokusho.nijl.ac.jp/biblio/100239896/manifest,https://kokusho.nijl.ac.jp/biblio/100239896,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４６
nijl:100239897,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,桃洞遺筆,とうどういひつ,,,,,Ｔ８１：２２７,https://kokusho.nijl.ac.jp/biblio/100239897/manifest,https://kokusho.nijl.ac.jp/biblio/100239897,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４７
nijl:100239901,nijl:utokyo-medicine,東京大学総合図書館（医学・本草類，含鶚軒文庫）,,本草綱目要解,ほんぞうこうもくようかい,,,,,Ｔ８１：２３４,https://kokusho.nijl.ac.jp/biblio/100239901/manifest,https://kokusho.nijl.ac.jp/biblio/100239901,利用条件见 https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０００４９
