id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
nijl:300066050,nijl:utokyo-medlib,東京大学医学図書館,,泰西名醫彙講,たいせいめいいいこう,,,,,呉：１８,https://kokusho.nijl.ac.jp/biblio/300066050/manifest,https://kokusho.nijl.ac.jp/biblio/300066050,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５７８
nijl:300066051,nijl:utokyo-medlib,東京大学医学図書館,,醫療正始,いりょうせいし,,,,,呉：２２,https://kokusho.nijl.ac.jp/biblio/300066051/manifest,https://kokusho.nijl.ac.jp/biblio/300066051,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５７９
nijl:300066052,nijl:utokyo-medlib,東京大学医学図書館,,産科簡明,さんかかんめい,,,,,呉：２３－１,https://kokusho.nijl.ac.jp/biblio/300066052/manifest,https://kokusho.nijl.ac.jp/biblio/300066052,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８０
nijl:300066053,nijl:utokyo-medlib,東京大学医学図書館,,英語字引／改正増補譯鍵,えいごじびき／かいせいぞうほやっけん,,,,,呉：２５,https://kokusho.nijl.ac.jp/biblio/300066053/manifest,https://kokusho.nijl.ac.jp/biblio/300066053,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８１－０００Ｅ
nijl:300066054,nijl:utokyo-medlib,東京大学医学図書館,,箕作秋坪手稿,みつくりしゅうへいしゅこう,,,,,呉：２６,https://kokusho.nijl.ac.jp/biblio/300066054/manifest,https://kokusho.nijl.ac.jp/biblio/300066054,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８２
nijl:300066055,nijl:utokyo-medlib,東京大学医学図書館,,精神病學隨鈔,せいしんびょうがくずいしょう,,,,,呉：２９,https://kokusho.nijl.ac.jp/biblio/300066055/manifest,https://kokusho.nijl.ac.jp/biblio/300066055,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８３
nijl:300066056,nijl:utokyo-medlib,東京大学医学図書館,,秘事養生傳,ひじようじょうでん,,,,,呉：３１,https://kokusho.nijl.ac.jp/biblio/300066056/manifest,https://kokusho.nijl.ac.jp/biblio/300066056,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８４
nijl:300066057,nijl:utokyo-medlib,東京大学医学図書館,,銀海燃犀録,ぎんかいねんさいろく,,,,,呉：３２,https://kokusho.nijl.ac.jp/biblio/300066057/manifest,https://kokusho.nijl.ac.jp/biblio/300066057,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８５
nijl:300066058,nijl:utokyo-medlib,東京大学医学図書館,,瘍科瑣言,ようかさげん,,,,,呉：３３,https://kokusho.nijl.ac.jp/biblio/300066058/manifest,https://kokusho.nijl.ac.jp/biblio/300066058,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８６
nijl:300066059,nijl:utokyo-medlib,東京大学医学図書館,,樂忘居漫筆,らくぼうきょまんぴつ,,,,,呉：３４,https://kokusho.nijl.ac.jp/biblio/300066059/manifest,https://kokusho.nijl.ac.jp/biblio/300066059,RightsStatements NoC-CR 1.0,,,,画像請求記号 ＤＩＧ－ＴＯＫＹ－０３５８７
