id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
sbb:1039287018,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[五官科用藥手册],[Handbook for the use of medications in the medical specialty concerned with the five offices],,Ca. 1940s to 1950s,1940-1950,写,Slg. Unschuld 8005,https://content.staatsbibliothek-berlin.de/dc/PPN1741921627/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741921627,Public Domain Mark 1.0（数字化影像）,,,,主题：Western medicine
sbb:1039287026,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,痘疹科 3卷,,,1904,1904,写,Slg. Unschuld 8006,https://content.staatsbibliothek-berlin.de/dc/PPN1741928966/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741928966,Public Domain Mark 1.0（数字化影像）,,,,主题：Smallpox
sbb:1039287034,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,醫藥歌賦,[Medicine and pharmaceutics. In rhyme and as a prose poem],,Daoguang reign period (1821–1850) or later,1821-1850,写,Slg. Unschuld 8008,https://content.staatsbibliothek-berlin.de/dc/PPN1931072000/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1931072000,Public Domain Mark 1.0（数字化影像）,,,,主题：Rhymed text for easy learning
sbb:1039287042,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,眼科良方,[Good recipes for ophthalmology],,From guangxu 光緒 reign period (1875–1907) to early republican era,1875-1907,写,Slg. Unschuld 8009,,https://stabikat.de/Record/1039287042,未数字化,,,,主题：Ophthalmology
sbb:1039287050,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,丹方本,[Volume of elixir formulas],,Daoguang 道光 reign period (1821–1850) to republican era,1821-1850,写,Slg. Unschuld 8010,,https://stabikat.de/Record/1039287050,未数字化,,,,主题：Pediatrics
sbb:1039287069,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[賣膏藥書],[Scripture on selling plasters],,1909,1909,写,Slg. Unschuld 8011,,https://stabikat.de/Record/1039287069,未数字化,,,,主题：Itinerant healer
sbb:1039287077,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[符咒與單驗方書],[Scripture with amulets and incantations as well as single-substance effective formulas],,end of Qing to early Republican era,,写,Slg. Unschuld 8012,,https://stabikat.de/Record/1039287077,未数字化,,,,主题：Apotropaics
sbb:1039287085,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[脈藥歌訣],[Rhymed instructions on the [movements in the] vessels and pharmaceutical drugs],,19XX [Republican era],,写,Slg. Unschuld 8013,https://content.staatsbibliothek-berlin.de/dc/PPN1741930456/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741930456,Public Domain Mark 1.0（数字化影像）,,,,主题：Rhymed text for easy learning
sbb:1039287093,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,外科症治全生集,[A collection of [recipes] from external medicine to treat pathoconditions and restore life],,嘉慶廿二 (1817),1817,写,Slg. Unschuld 8015,,https://stabikat.de/Record/1039287093,未数字化,,,,主题：External medicine
sbb:1039287107,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[脈藥]手抄本,[Hand-copied volume on the [movement in the] vessels and pharmaceutical drugs],,18XX,,写,Slg. Unschuld 8016,https://content.staatsbibliothek-berlin.de/dc/PPN1741938481/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741938481,Public Domain Mark 1.0（数字化影像）,,,,主题：Rhymed instructions for easy learning
sbb:1039287115,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,鬼子翻語書,鬼子翻译书,,18XX/19XX [end of Qing dynasty],,写,Slg. Unschuld 8017,https://content.staatsbibliothek-berlin.de/dc/PPN1741940486/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741940486,Public Domain Mark 1.0（数字化影像）,,,,主题：Reference book
sbb:1039287123,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,成药方书,[Book with formulas of ready-made remedies],,"19th century, prior to the end of the Qing dynasty",,写,Slg. Unschuld 8018,,https://stabikat.de/Record/1039287123,未数字化,,,,主题：Medical prescriptions
sbb:1039287131,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,瀕湖脈學,[Li Binhu's pulse doctrine],,光緒廿十年歲次壬寅暮春月 (1840),1840,写,Slg. Unschuld 8019,https://content.staatsbibliothek-berlin.de/dc/PPN174194113X/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN174194113X,Public Domain Mark 1.0（数字化影像）,binhu_maixue,binhu_maixue,exact,主题：Pulse diagnosis
sbb:103928714X,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[外科藥方],[Pharmaceutical recipes in external medicine],,early 20th century,,写,Slg. Unschuld 8020,,https://stabikat.de/Record/103928714X,未数字化,,,,主题：External medicine
sbb:1039287158,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[針灸雜抄],[Miscellaneous hand-copied notes on acupuncture and moxibustion],,Ca. 1940s to 1950s,1940-1950,写,Slg. Unschuld 8021,https://content.staatsbibliothek-berlin.de/dc/PPN1741957508/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741957508,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:1039287166,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,全抄小兒推拿廣意,[A complete hand-copy of the Xiao'er tuina guangyi],,19XX [First half of 20th century],,写,Slg. Unschuld 8022,https://content.staatsbibliothek-berlin.de/dc/PPN1741957931/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741957931,Public Domain Mark 1.0（数字化影像）,,,,主题：Push-and-pull massage
sbb:1039287174,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[傷寒證治],[Harm caused by cold. Signs and treatments],,19XX [First half of 20th century],,写,Slg. Unschuld 8023,https://content.staatsbibliothek-berlin.de/dc/PPN1741958369/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741958369,Public Domain Mark 1.0（数字化影像）,,,,主题：Harm caused by cold
sbb:1039287182,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,寒濕跌打斧砍金瘡公選良方,[Good recipes chosen by the general public for [treating] cold dampness and lesions resulting from falls knocks cuts by hatchets as well as [further] metal objects],,1916,1916,写,Slg. Unschuld 8025,https://content.staatsbibliothek-berlin.de/dc/PPN1741958679/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741958679,Public Domain Mark 1.0（数字化影像）,,,,主题：Bonesetting and traumatology
sbb:1039287190,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,親驗針灸彙錄,[A compilation on acupuncture and moxibustion based in personal experience],,1930s to 1940s,1930-1940,写,Slg. Unschuld 8029,https://content.staatsbibliothek-berlin.de/dc/PPN1741959330/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741959330,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:1039287204,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[近代諸家醫案摘抄],[Collective hand-copied medical case histories of various experts of recent times],,1930s to 1940s,1930-1940,写,Slg. Unschuld 8030,https://content.staatsbibliothek-berlin.de/dc/PPN1741959675/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1741959675,Public Domain Mark 1.0（数字化影像）,,,,主题：Medical case histories
sbb:1039287212,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,小兒察症,[Examination of pathoconditions of children],,s.a.,,写,Slg. Unschuld 8038,https://content.staatsbibliothek-berlin.de/dc/PPN1688512330/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1688512330,Public Domain Mark 1.0（数字化影像）,,,,主题：Pediatrics
sbb:1039287220,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,廣瘟疫論,[On the spread of warmth epidemics],,18XX,,写,Slg. Unschuld 8039,https://content.staatsbibliothek-berlin.de/dc/PPN174196248X/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN174196248X,Public Domain Mark 1.0（数字化影像）,jc:广瘟疫论,jc_e005,exact,主题：Warmth diseases
