id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
waseda:ya09_00001,waseda:ya09,早稲田大学図書館,古典籍総合データベース,黄鍾録,,山崎 九皐,"[尾張] : 恬淡居, 享和元[1801]",1801,刊,ヤ09 00001,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00001/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00002,waseda:ya09,早稲田大学図書館,古典籍総合データベース,医籍考,,多紀 元胤,"写, [書写年不明]",,写,ヤ09 00002,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00002/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00007,waseda:ya09,早稲田大学図書館,古典籍総合データベース,医門法律,,喩 昌,"[京都] : 村上勘兵衛, 寛文5[1665]",1665,刊,ヤ09 00007,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00007/index.html,早稲田大学図書館（画像利用は同館の規定による）,yimen_falv,yimen_falv,exact,古典籍 / 医学－古方
waseda:ya09_00008,waseda:ya09,早稲田大学図書館,古典籍総合データベース,新刊勿聴子俗解八十一難経,,秦 越人,"[京都] : 岩田七兵衛, 寛永4[1627]",1627,刊,ヤ09 00008,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00008/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00013,waseda:ya09,早稲田大学図書館,古典籍総合データベース,麻疹必用,,葛飾 蘆菴,"江戸 : 千鍾房, 文政7[1824]",1824,刊,ヤ09 00013,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00013/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00015,waseda:ya09,早稲田大学図書館,古典籍総合データベース,針経,,王 懐隠,"梅翁(写), 天明8[1788]",1788,写,ヤ09 00015,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00015/index.html,早稲田大学図書館（画像利用は同館の規定による）,lingshu,lingshu_shisong,exact·alias,古典籍 / 太平聖恵方 / 医学－古方
waseda:ya09_00023,waseda:ya09,早稲田大学図書館,古典籍総合データベース,達生録,,堵 胤昌,"[京都] : 上村次郎右衛門, 慶安2[1649]",1649,刊,ヤ09 00023,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00023/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00025,waseda:ya09,早稲田大学図書館,古典籍総合データベース,病家須知,,平野 元良,"心斎橋通安堂寺町(大坂) : 秋田屋太右衛門, 天保3-6[1832-1835]",1832-1835,刊,ヤ09 00025,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00025/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00028,waseda:ya09,早稲田大学図書館,古典籍総合データベース,青嚢瑣探,,片倉 鶴陵,"東都(江戸) : 宮商閣, 享和元[1801]",1801,刊,ヤ09 00028,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00028/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00031,waseda:ya09,早稲田大学図書館,古典籍総合データベース,体雅,,多紀 元胤,"写, [書写年不明]",,写,ヤ09 00031,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00031/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00033,waseda:ya09,早稲田大学図書館,古典籍総合データベース,和蘭医話,,伏屋 素狄,"浪速 : 上田吉兵衛, 文化2[1805]",1805,刊,ヤ09 00033,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00033/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00038,waseda:ya09,早稲田大学図書館,古典籍総合データベース,医林蒙求,,樋口 丹台,"南伝馬(江戸) : 鴨伊兵衛, 文化2[1805]",1805,刊,ヤ09 00038,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00038/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00039,waseda:ya09,早稲田大学図書館,古典籍総合データベース,舌胎図説,,土田 蒙斎,"内藤福弥(写), 明治27[1894]",1894,写,ヤ09 00039,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00039/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00041,waseda:ya09,早稲田大学図書館,古典籍総合データベース,刺絡編,,荻野 元凱,"二条通東洞院東江入丁(皇都) : 林伊兵衛, 明和8[1771]",1771,刊,ヤ09 00041,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00041/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 台州園随筆 / 医学－古方
waseda:ya09_00042,waseda:ya09,早稲田大学図書館,古典籍総合データベース,素問玄機原病式,,劉 完素,"柳馬場通二条下町(京) : 芳野屋作十郎, 宝永8[1711]",1711,刊,ヤ09 00042,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00042/index.html,早稲田大学図書館（画像利用は同館の規定による）,yuanbingshi,yuanbingshi,exact,古典籍 / 医家七部書 / 医学－古方
waseda:ya09_00043,waseda:ya09,早稲田大学図書館,古典籍総合データベース,革谿医砭,,平野 元良,"[出版地不明] : 無適無寞庵, 嘉永7[1854]",1854,刊,ヤ09 00043,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00043/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00047,waseda:ya09,早稲田大学図書館,古典籍総合データベース,外科訓蒙図彙,,伊良子 光顕,"[出版地不明] : [出版者不明], 明和4[1767]序",1767,刊,ヤ09 00047,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00047/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00050,waseda:ya09,早稲田大学図書館,古典籍総合データベース,治腫指南,,任 彦国,"[出版地不明] : [出版者不明], [出版年不明]",,刊,ヤ09 00050,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00050/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00051,waseda:ya09,早稲田大学図書館,古典籍総合データベース,医家初訓,,多紀 元徳,"東京 : 青雲堂, [出版年不明]",,刊,ヤ09 00051,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00051/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00052,waseda:ya09,早稲田大学図書館,古典籍総合データベース,内景備覧,,石坂 宗哲,"[出版地不明] : 陽州園, 天保11[1840]",1840,刊,ヤ09 00052,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00052/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00053,waseda:ya09,早稲田大学図書館,古典籍総合データベース,蔵志,,山脇 東洋,"平安(京都) : 養寿院, 寳暦9[1759]跋",1759,刊,ヤ09 00053,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00053/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00054,waseda:ya09,早稲田大学図書館,古典籍総合データベース,食療正要,,松岡 恕庵,"皇都(京都) : 柳枝軒, 明和6[1769]",1769,刊,ヤ09 00054,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00054/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00055,waseda:ya09,早稲田大学図書館,古典籍総合データベース,炮炙全書,,稲生 若水,"洛陽(京都) : 唐本屋又兵衛, 元禄5[1692]",1692,刊,ヤ09 00055,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00055/index.html,早稲田大学図書館（画像利用は同館の規定による）,jc:炮炙全书,jc_c101,exact,古典籍 / 医学－古方
waseda:ya09_00056,waseda:ya09,早稲田大学図書館,古典籍総合データベース,医賸,,多紀 元簡,"[江戸] : 聿修堂, 文化6[1809]跋",1809,刊,ヤ09 00056,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00056/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
waseda:ya09_00059,waseda:ya09,早稲田大学図書館,古典籍総合データベース,竜樹菩薩眼論,,,"[出版地不明] : [出版者不明], [出版年不明]",,刊,ヤ09 00059,,https://www.wul.waseda.ac.jp/kotenseki/html/ya09/ya09_00059/index.html,早稲田大学図書館（画像利用は同館の規定による）,,,,古典籍 / 医学－古方
