# Ancient / variant character forms -> standard simplified form, for MATCHING ONLY (texts are never altered).
# source: unihan:<field> = derived from the Unicode Unihan database (Unicode License, https://www.unicode.org/license.txt),
#         reviewed against contexts in the Kanripo KR3e corpus; manual = curated for this project from corpus contexts.
# columns: variant<TAB>standard<TAB>source<TAB>note
㑹	会	manual	
㓜	幼	manual	
㕘	参	manual	參
㗋	喉	manual	㗋嚨=喉嚨
㡬	几	manual	幾
㢘	廉	manual	前㢘=前廉
㣲	微	manual	
㦸	戟	manual	大㦸=大戟
㧞	拔	manual	
㪚	散	manual	五苓㪚=五苓散
㫁	断	manual	
㫖	旨	manual	
㬰	臾	manual	須㬰=須臾
㮣	概	manual	
㵼	泻	manual	瀉
㸃	点	manual	
㸔	看	manual	
㹠	豚	manual	
䑓	台	manual	臺
䑕	鼠	manual	
䓤	葱	manual	䓤白=葱白
䓻	蔻	manual	肉豆䓻=肉豆蔻
䔧	藜	manual	䔧蘆=藜蘆
䕶	护	manual	護
䖝	虫	manual	蟲
䖟	虻	manual	
䜴	豉	manual	巵子䜴湯=栀子豉汤
䝉	蒙	manual	
䟽	疏	manual	
䧟	陷	manual	
䨇	双	manual	
乆	久	manual	
乗	乘	manual	
亷	廉	manual	
俛	俯	manual	
兊	兑	manual	
児	儿	manual	
兠	兜	manual	
冐	冒	manual	
冝	宜	manual	
凖	准	manual	
厯	历	manual	
圎	圆	manual	
増	增	manual	
壊	坏	manual	
夲	本	manual	
寛	宽	manual	
寜	宁	manual	
専	专	manual	
巵	栀	manual	巵子=梔子
巻	卷	manual	
帯	带	manual	
従	从	manual	
徳	德	manual	
徴	征	manual	
恱	悦	manual	
恵	惠	manual	
悪	恶	manual	
悮	误	manual	
愼	慎	manual	
懐	怀	manual	
掲	揭	manual	
曽	曾	manual	
柤	楂	manual	
桞	柳	manual	
榖	谷	manual	穀之譌
様	样	manual	
欎	郁	manual	鬱
歛	敛	manual	
歩	步	manual	
毎	每	manual	
氷	冰	manual	
沬	沫	manual	涎沬=涎沫
浄	净	manual	
淸	清	manual	
渇	渴	manual	
渉	涉	manual	
滛	淫	manual	
潄	漱	manual	
焼	烧	manual	
煆	煅	manual	
琖	盏	manual	
畨	番	manual	
痟	消	manual	痟渴=消渴
痩	瘦	manual	
癎	痫	manual	癇
眀	明	manual	
瞖	翳	manual	
穂	穗	manual	
穏	稳	manual	
穣	穰	manual	
箆	篦	manual	
纒	缠	manual	
耎	软	manual	
聴	听	manual	
胷	胸	manual	
臓	脏	manual	
舎	舍	manual	
芁	艽	manual	秦芁=秦艽
苖	苗	manual	
茋	芪	manual	黄茋=黄芪
茰	萸	manual	茱茰=茱萸
荗	茂	manual	
莭	节	manual	
莵	菟	manual	
菉	绿	manual	菉豆=綠豆
蔕	蒂	manual	
蔲	蔻	manual	
蔵	藏	manual	
薫	熏	manual	
蘓	苏	manual	
蘹	茴	manual	蘹香=茴香
虀	齑	manual	
虗	虚	manual	
蝱	虻	manual	
蟇	蟆	manual	
蠧	蠹	manual	
袪	祛	manual	袪風之袪多作祛
褁	裹	manual	
讝	谵	manual	讝語=譫語
谿	溪	manual	太谿=太溪
踈	疏	manual	
逰	游	manual	
逹	达	manual	
逺	远	manual	
邉	边	manual	
醎	咸	manual	鹹
醤	酱	manual	
釡	釜	manual	
錬	炼	manual	
鐡	铁	manual	
靣	面	manual	
頥	颐	manual	
飬	养	manual	
髪	发	manual	髮
鬰	郁	manual	鬱
麺	面	manual	麵
𠻳	嗽	manual	但欲𠻳水=但欲漱水
𢃄	带	manual	帶
𢎞	弘	manual	清諱弘曆缺筆
𢷬	捣	manual	擣
𤓰	瓜	manual	
𤣥	玄	manual	清諱玄燁缺末筆
𤼵	发	manual	發
𥙷	补	manual	補
𦍑	羌	manual	
𧖟	蚕	manual	卧𧖟=卧蠶
𨗳	导	manual	導
𩕄	囟	manual	𩕄會=囟會
𫝊	传	manual	
㐫	凶	unihan:kSemanticVariant	
㐮	襄	unihan:kSemanticVariant	
㒷	兴	unihan:kSemanticVariant	
㓟	披	unihan:kSpecializedSemanticVariant	
㕑	厨	unihan:kSemanticVariant	
㗖	啖	unihan:kSemanticVariant	
㗳	嗒	unihan:kSemanticVariant	
㘅	衔	unihan:kSemanticVariant	
㝃	娩	unihan:kSemanticVariant	
㝛	宿	unihan:kSemanticVariant	
㝵	碍	unihan:kSemanticVariant	
㞐	居	unihan:kSemanticVariant	
㠯	以	unihan:kSemanticVariant	
㠶	帆	unihan:kSemanticVariant	
㣼	忍	unihan:kSemanticVariant	
㨗	捷	unihan:kSemanticVariant	
㪯	举	unihan:kSemanticVariant	
㭨	椰	unihan:kSemanticVariant	
㯃	漆	unihan:kSemanticVariant	
㯭	橹	unihan:kSemanticVariant	
㯶	棕	unihan:kSemanticVariant	
㯽	槟	unihan:kSemanticVariant	
㳄	涎	unihan:kSemanticVariant	
㴑	溯	unihan:kSemanticVariant	
㵒	沸	unihan:kSemanticVariant	
䀋	盐	unihan:kSemanticVariant	
䆫	窗	unihan:kSemanticVariant	
䊜	团	unihan:kSemanticVariant	
䋲	绳	unihan:kSemanticVariant	
䌫	缆	unihan:kSemanticVariant	
䒒	苕	unihan:kSemanticVariant	
䕌	稚	unihan:kSemanticVariant	
䕭	荨	unihan:kSemanticVariant	
䖍	虔	unihan:kSemanticVariant	
䖏	处	unihan:kSemanticVariant	
䘚	卒	unihan:kSemanticVariant	
䙝	亵	unihan:kSemanticVariant	
䜶	豇	unihan:kSemanticVariant	
䪿	囟	unihan:kSemanticVariant	
䭾	驮	unihan:kSemanticVariant	
䯌	尻	unihan:kSemanticVariant	
䯻	髻	unihan:kSemanticVariant	
䳘	鹅	unihan:kSemanticVariant	
䴸	麸	unihan:kSemanticVariant	
両	两	unihan:kSemanticVariant	
丼	井	unihan:kSpecializedSemanticVariant	
乹	干	unihan:kSemanticVariant	
亁	干	unihan:kSemanticVariant	
亊	事	unihan:kSemanticVariant	
亾	亡	unihan:kSemanticVariant	
仾	低	unihan:kSemanticVariant	
俻	备	unihan:kSemanticVariant	
倂	并	unihan:kZVariant	
倐	倏	unihan:kSemanticVariant	
倣	仿	unihan:kSemanticVariant	
値	值	unihan:kZVariant	
偁	称	unihan:kSemanticVariant	
偒	荡	unihan:kSemanticVariant	
偪	逼	unihan:kSemanticVariant	
僊	仙	unihan:kSemanticVariant	
儍	傻	unihan:kSemanticVariant	
兎	兔	unihan:kSemanticVariant	
兪	俞	unihan:kSemanticVariant	
冄	冉	unihan:kSemanticVariant	
冣	最	unihan:kSpecializedSemanticVariant	
冩	写	unihan:kSemanticVariant	
凂	浼	unihan:kSemanticVariant	
凢	凡	unihan:kSemanticVariant	
処	处	unihan:kSemanticVariant	
凴	凭	unihan:kSemanticVariant	
凾	函	unihan:kSemanticVariant	
刄	刃	unihan:kSemanticVariant	
刅	创	unihan:kSemanticVariant	
刋	刊	unihan:kSemanticVariant	
刦	劫	unihan:kSemanticVariant	
刧	劫	unihan:kSemanticVariant	
刴	剁	unihan:kSemanticVariant	
刼	劫	unihan:kSemanticVariant	
剉	锉	unihan:kSpecializedSemanticVariant	
剙	创	unihan:kSpecializedSemanticVariant	
劒	剑	unihan:kSemanticVariant	
効	效	unihan:kSemanticVariant	
勗	勖	unihan:kSemanticVariant	
匃	丐	unihan:kSemanticVariant	
匊	掬	unihan:kSemanticVariant	
匳	奁	unihan:kSemanticVariant	
卄	廿	unihan:kSemanticVariant	
厎	砥	unihan:kSemanticVariant	
厓	崖	unihan:kSemanticVariant	
厪	廑	unihan:kSemanticVariant	
厰	厂	unihan:kSemanticVariant	
叅	参	unihan:kSemanticVariant	
収	收	unihan:kSemanticVariant	
叜	叟	unihan:kSemanticVariant	
叡	睿	unihan:kSemanticVariant	
吿	告	unihan:kSemanticVariant	
呉	吴	unihan:kZVariant	
呌	叫	unihan:kSemanticVariant	
呑	吞	unihan:kSemanticVariant	
呡	吻	unihan:kSemanticVariant	
呪	咒	unihan:kSemanticVariant	
咊	和	unihan:kSemanticVariant	
咲	笑	unihan:kSemanticVariant	
咷	啕	unihan:kSemanticVariant	
唅	含	unihan:kSpecializedSemanticVariant	
唫	吟	unihan:kSemanticVariant	
啗	啖	unihan:kSemanticVariant	
喆	哲	unihan:kSemanticVariant	
喿	噪	unihan:kSemanticVariant	
嘷	嗥	unihan:kSemanticVariant	
噉	啖	unihan:kSemanticVariant	
噏	吸	unihan:kSemanticVariant	
噐	器	unihan:kSemanticVariant	
嚬	颦	unihan:kSemanticVariant	
嚵	馋	unihan:kSemanticVariant	
囓	啮	unihan:kSemanticVariant	
囘	回	unihan:kSemanticVariant	
囬	回	unihan:kSemanticVariant	
囯	国	unihan:kSemanticVariant	
圅	函	unihan:kSemanticVariant	
坋	坌	unihan:kSemanticVariant	
坵	丘	unihan:kSemanticVariant	
垜	垛	unihan:kSemanticVariant	
埇	甬	unihan:kSemanticVariant	
埜	野	unihan:kSemanticVariant	
埶	艺	unihan:kSemanticVariant	
堈	缸	unihan:kSemanticVariant	
堘	塍	unihan:kSemanticVariant	
堦	阶	unihan:kSemanticVariant	
堿	碱	unihan:kSemanticVariant	
塟	葬	unihan:kSemanticVariant	
塡	填	unihan:kZVariant	
塩	盐	unihan:kSemanticVariant	
塲	场	unihan:kSemanticVariant	
塼	砖	unihan:kSemanticVariant	
墖	塔	unihan:kSemanticVariant	
墝	硗	unihan:kSemanticVariant	
壍	堑	unihan:kSemanticVariant	
壻	婿	unihan:kSemanticVariant	
夀	寿	unihan:kSemanticVariant	
変	变	unihan:kSemanticVariant	
夘	卯	unihan:kSpecializedSemanticVariant	
夣	梦	unihan:kSemanticVariant	
奨	奖	unihan:kZVariant	
妬	妒	unihan:kSemanticVariant	
妳	奶	unihan:kSemanticVariant	
姙	妊	unihan:kSemanticVariant	
娯	娱	unihan:kZVariant	
婣	姻	unihan:kSemanticVariant	
婬	淫	unihan:kSemanticVariant	
媍	妇	unihan:kSemanticVariant	
媿	愧	unihan:kSemanticVariant	
嫰	嫩	unihan:kSpecializedSemanticVariant	
嬭	奶	unihan:kSemanticVariant	
宂	冗	unihan:kSemanticVariant	
宐	宜	unihan:kSemanticVariant	
宻	密	unihan:kSemanticVariant	
宼	寇	unihan:kSemanticVariant	
寃	冤	unihan:kSemanticVariant	
寔	实	unihan:kSemanticVariant	
寗	宁	unihan:kSemanticVariant	
寘	置	unihan:kSemanticVariant	
寳	宝	unihan:kSemanticVariant	
尃	敷	unihan:kSemanticVariant	
尅	克	unihan:kSemanticVariant	
尒	尔	unihan:kSemanticVariant	
尗	叔	unihan:kSemanticVariant	
尰	肿	unihan:kSemanticVariant	
岀	出	unihan:kSemanticVariant	
峩	峨	unihan:kSemanticVariant	
崘	仑	unihan:kSemanticVariant	
巉	崭	unihan:kSemanticVariant	
巤	鬣	unihan:kSemanticVariant	
帀	匝	unihan:kSemanticVariant	
帋	纸	unihan:kSemanticVariant	
帬	裙	unihan:kSemanticVariant	
幇	帮	unihan:kSemanticVariant	
幙	幕	unihan:kSemanticVariant	
幵	开	unihan:kSemanticVariant	
幷	并	unihan:kSemanticVariant	
廐	厩	unihan:kSemanticVariant	
廔	楼	unihan:kSemanticVariant	
廵	巡	unihan:kSemanticVariant	
廸	迪	unihan:kSemanticVariant	
廹	迫	unihan:kSemanticVariant	
廻	回	unihan:kSemanticVariant	
廼	乃	unihan:kSemanticVariant	
弍	二	unihan:kSemanticVariant	
彊	强	unihan:kSemanticVariant	
彞	彝	unihan:kSimplifiedVariant	
徃	往	unihan:kSemanticVariant	
徤	健	unihan:kSemanticVariant	
徧	遍	unihan:kSemanticVariant	
徬	彷	unihan:kSemanticVariant	
怌	怀	unihan:kSemanticVariant	
怱	匆	unihan:kSemanticVariant	
怳	恍	unihan:kSemanticVariant	
恊	勰	unihan:kSemanticVariant	
恠	怪	unihan:kSemanticVariant	
恡	吝	unihan:kSemanticVariant	
悤	匆	unihan:kSemanticVariant	
惇	敦	unihan:kSemanticVariant	
惪	德	unihan:kSemanticVariant	
愬	诉	unihan:kSemanticVariant	
愽	博	unihan:kSemanticVariant	
慙	惭	unihan:kSemanticVariant	
慽	戚	unihan:kSemanticVariant	
憇	憩	unihan:kSemanticVariant	
懽	欢	unihan:kSemanticVariant	
戯	戏	unihan:kSemanticVariant	
戸	户	unihan:kZVariant	
扞	捍	unihan:kSemanticVariant	
扵	于	unihan:kSemanticVariant	
抍	拯	unihan:kSemanticVariant	
抝	拗	unihan:kSemanticVariant	
拏	拿	unihan:kSemanticVariant	
挐	拿	unihan:kSemanticVariant	
挿	插	unihan:kZVariant	
揑	捏	unihan:kSemanticVariant	
揜	掩	unihan:kSemanticVariant	
揫	揪	unihan:kSemanticVariant	
揷	插	unihan:kZVariant	
揺	摇	unihan:kZVariant	
搃	总	unihan:kSemanticVariant	
搤	扼	unihan:kSemanticVariant	
搯	掏	unihan:kSemanticVariant	
摠	总	unihan:kSemanticVariant	
摣	揸	unihan:kSemanticVariant	
摴	舒	unihan:kSpecializedSemanticVariant	
撘	搭	unihan:kSemanticVariant	
撢	掸	unihan:kSpecializedSemanticVariant	
撦	扯	unihan:kSemanticVariant	
撽	击	unihan:kSemanticVariant	
擡	抬	unihan:kSemanticVariant	
擿	掷	unihan:kSemanticVariant	
攅	攒	unihan:kSemanticVariant	
攩	挡	unihan:kSemanticVariant	
攷	考	unihan:kSemanticVariant	
敁	掂	unihan:kSemanticVariant	
敺	驱	unihan:kSemanticVariant	
斈	学	unihan:kSemanticVariant	
斉	齐	unihan:kSemanticVariant	
斾	旆	unihan:kSemanticVariant	
旉	敷	unihan:kSemanticVariant	
旛	幡	unihan:kSemanticVariant	
旳	的	unihan:kSemanticVariant	
旹	时	unihan:kSemanticVariant	
昬	昏	unihan:kSemanticVariant	
昻	昂	unihan:kSemanticVariant	
晩	晚	unihan:kZVariant	
晳	晰	unihan:kSemanticVariant	
暎	映	unihan:kSemanticVariant	
暱	昵	unihan:kSemanticVariant	
朙	明	unihan:kSemanticVariant	
朢	望	unihan:kSemanticVariant	
朶	朵	unihan:kSemanticVariant	
杇	圬	unihan:kSemanticVariant	
杸	殳	unihan:kSemanticVariant	
枱	台	unihan:kSemanticVariant	
栁	柳	unihan:kSemanticVariant	
栢	柏	unihan:kSemanticVariant	
桼	漆	unihan:kSemanticVariant	
梹	槟	unihan:kSemanticVariant	
棃	梨	unihan:kSemanticVariant	
棐	榧	unihan:kSemanticVariant	
椀	碗	unihan:kSemanticVariant	
椶	棕	unihan:kSemanticVariant	
槀	稿	unihan:kSemanticVariant	
槖	橐	unihan:kSemanticVariant	
槩	概	unihan:kSemanticVariant	
樚	辘	unihan:kSemanticVariant	
樻	匮	unihan:kSemanticVariant	
橊	榴	unihan:kSemanticVariant	
橜	橛	unihan:kSemanticVariant	
檝	楫	unihan:kSemanticVariant	
櫂	棹	unihan:kSemanticVariant	
櫈	凳	unihan:kSemanticVariant	
櫺	棂	unihan:kSemanticVariant	
櫾	柚	unihan:kSemanticVariant	
欝	郁	unihan:kSemanticVariant	
欬	咳	unihan:kSemanticVariant	
欵	款	unihan:kSemanticVariant	
欸	唉	unihan:kSemanticVariant	
歕	喷	unihan:kSemanticVariant	
歠	啜	unihan:kSemanticVariant	
歳	岁	unihan:kSemanticVariant	
歴	历	unihan:kSemanticVariant	
殽	淆	unihan:kSemanticVariant	
毉	医	unihan:kSpecializedSemanticVariant	
毘	毗	unihan:kSemanticVariant	
氊	毡	unihan:kSemanticVariant	
汚	污	unihan:kSemanticVariant	
沍	冱	unihan:kSemanticVariant	
洿	污	unihan:kSemanticVariant	
涖	莅	unihan:kSemanticVariant	
涶	唾	unihan:kSemanticVariant	
淊	淹	unihan:kSpecializedSemanticVariant	
渰	淹	unihan:kSemanticVariant	
湏	须	unihan:kSemanticVariant	
湼	涅	unihan:kSemanticVariant	
潬	滩	unihan:kSemanticVariant	
澁	涩	unihan:kSemanticVariant	
澣	浣	unihan:kSemanticVariant	
澷	漫	unihan:kSemanticVariant	
濇	涩	unihan:kSemanticVariant	
濬	浚	unihan:kSemanticVariant	
濵	滨	unihan:kSemanticVariant	
濶	阔	unihan:kSemanticVariant	
瀁	漾	unihan:kSemanticVariant	
炁	气	unihan:kSemanticVariant	
炤	照	unihan:kSemanticVariant	
炰	炮	unihan:kSemanticVariant	
烕	灭	unihan:kSemanticVariant	
烖	灾	unihan:kSemanticVariant	
烝	蒸	unihan:kSemanticVariant	
烱	炯	unihan:kSemanticVariant	
煑	煮	unihan:kSemanticVariant	
煖	暖	unihan:kSemanticVariant	
煠	炸	unihan:kSemanticVariant	
熈	熙	unihan:kSemanticVariant	
