# Rare variant forms from the 笈成檢閱系統 variant table (config/synonyms.txt), each mapped to the group's only
# common form; groups with two common forms and the sections 易誤判字 and 一對多簡化字 are left out.
# GENERATED by `taochronos corpus catalog jicheng`.  columns: variant, normalised form, source, group
饐	噎	jicheng:synonyms	噎 饐 [c]oipgr[/c]
譩	噫	jicheng:synonyms	噫 譩
盻	盼	jicheng:synonyms	盼 盻
寖	浸	jicheng:synonyms	浸 寖 [c]jcese[/c]
厀	膝	jicheng:synonyms	膝 厀 [c]tbde[/c]
芔	卉	jicheng:synonyms	卉 芔
瘖	喑	jicheng:synonyms	瘖 喑
澟	凛	jicheng:synonyms	澟 凜 凛
朞	期	jicheng:synonyms	期 朞
蜖	蛔	jicheng:synonyms	蛔 蚘 蛕 蜖 痐
痐	蛔	jicheng:synonyms	蛔 蚘 蛕 蜖 痐
瘈	瘛	jicheng:synonyms	瘛 瘈
薿	款	jicheng:synonyms	款 欵 薿
皀	皂	jicheng:synonyms	皂 皀 皁
虖	呼	jicheng:synonyms	呼 虖 嘑 謼
嘑	呼	jicheng:synonyms	呼 虖 嘑 謼
謼	呼	jicheng:synonyms	呼 虖 嘑 謼
逩	奔	jicheng:synonyms	奔 逩 犇
犇	奔	jicheng:synonyms	奔 逩 犇
筞	策	jicheng:synonyms	策 筞 筴
掽	碰	jicheng:synonyms	碰 掽 踫
踫	碰	jicheng:synonyms	碰 掽 踫
壄	野	jicheng:synonyms	野 埜 壄
渋	涩	jicheng:synonyms	澀 濇 澁 渋 涩
傚	效	jicheng:synonyms	效 効 傚
悗	闷	jicheng:synonyms	悶 悗 闷
缐	线	jicheng:synonyms	線 綫 缐 线
姧	奸	jicheng:synonyms	奸 姦 姧
緛	软	jicheng:synonyms	軟 輭 緛 软
剤	剂	jicheng:synonyms	劑 剤 剂
満	满	jicheng:synonyms	滿 満 满
龞	鳖	jicheng:synonyms	鱉 龞 鼈 鳖
鶏	鸡	jicheng:synonyms	雞 鷄 鶏 鸡
劔	剑	jicheng:synonyms	劍 劒 劔 剱 剣 剑
剱	剑	jicheng:synonyms	劍 劒 劔 剱 剣 剑
剣	剑	jicheng:synonyms	劍 劒 劔 剱 剣 剑
籢	奁	jicheng:synonyms	籢 匳 匲 奩 奁
匲	奁	jicheng:synonyms	籢 匳 匲 奩 奁
詶	酬	jicheng:synonyms	酬 詶 酧 醻
醻	酬	jicheng:synonyms	酬 詶 酧 醻
覰	觑	jicheng:synonyms	覷 覰 覻 觑
覻	觑	jicheng:synonyms	覷 覰 覻 觑
橤	蕊	jicheng:synonyms	蕊 蕋 橤 蘂
斲	斫	jicheng:synonyms	斲 斵 斮 斫
斵	斫	jicheng:synonyms	斲 斵 斮 斫
斮	斫	jicheng:synonyms	斲 斵 斮 斫
晻	暗	jicheng:synonyms	暗 闇 晻
翶	翱	jicheng:synonyms	翺 翶 翱
賓	宾	jicheng:synonyms	賓 賓 賔 宾
訦	谌	jicheng:synonyms	諶 訦 谌
硶	碜	jicheng:synonyms	磣 硶 碜
勲	勋	jicheng:synonyms	勳 勲 勛 勋
竃	灶	jicheng:synonyms	灶 竈 竃
弢	韬	jicheng:synonyms	韜 弢 韬
騗	骗	jicheng:synonyms	騙 騗 骗
飃	飘	jicheng:synonyms	飄 飃 飘
虋	门	jicheng:synonyms	門 虋 门
痓	痉	jicheng:synonyms	痙 痓 痉
鞌	鞍	jicheng:synonyms	鞍 鞌
垵	埯	jicheng:synonyms	埯 垵
嶴	岙	jicheng:synonyms	岙 嶴
粺	稗	jicheng:synonyms	稗 粺
牓	榜	jicheng:synonyms	榜 牓
艕	膀	jicheng:synonyms	膀 艕
襃	褒	jicheng:synonyms	褒 襃 裦
裦	褒	jicheng:synonyms	褒 襃 裦
緥	褓	jicheng:synonyms	褓 緥
誖	悖	jicheng:synonyms	悖 誖
獘	弊	jicheng:synonyms	弊 獘
辺	边	jicheng:synonyms	边 辺 邊
倸	睬	jicheng:synonyms	睬 倸
跴	踩	jicheng:synonyms	踩 跴
撡	操	jicheng:synonyms	操 撡
層	层	jicheng:synonyms	层 層 層
懲	惩	jicheng:synonyms	懲 惩 懲
遅	迟	jicheng:synonyms	迟 遅 遲
歯	齿	jicheng:synonyms	齿 歯 齒
勅	敕	jicheng:synonyms	敕 勅
矁	瞅	jicheng:synonyms	瞅 矁
伝	传	jicheng:synonyms	传 伝 傳
舩	船	jicheng:synonyms	船 舩
搥	捶	jicheng:synonyms	捶 搥
旾	春	jicheng:synonyms	春 旾
湻	淳	jicheng:synonyms	淳 湻
醕	醇	jicheng:synonyms	醇 醕
蹵	蹴	jicheng:synonyms	蹴 蹵
蝳	玳	jicheng:synonyms	玳 蝳
単	单	jicheng:synonyms	单 単 單
弾	弹	jicheng:synonyms	弹 弾 彈
氹	凼	jicheng:synonyms	凼 氹
悳	德	jicheng:synonyms	德 徳 悳
啑	喋	jicheng:synonyms	喋 啑
蜨	蝶	jicheng:synonyms	蝶 蜨
峝	峒	jicheng:synonyms	峒 峝
読	读	jicheng:synonyms	读 読 讀
対	对	jicheng:synonyms	对 対 對
墪	墩	jicheng:synonyms	墩 墪
跥	跺	jicheng:synonyms	跺 跥
娿	婀	jicheng:synonyms	婀 娿
灋	法	jicheng:synonyms	法 灋
颿	帆	jicheng:synonyms	帆 颿
凣	凡	jicheng:synonyms	凡 凣
緐	繁	jicheng:synonyms	繁 緐 繁
繁	繁	jicheng:synonyms	繁 緐 繁
廃	废	jicheng:synonyms	废 廃 廢
疿	痱	jicheng:synonyms	痱 疿
雰	氛	jicheng:synonyms	氛 雰
襆	幞	jicheng:synonyms	幞 襆
坿	附	jicheng:synonyms	附 坿
嘠	嘎	jicheng:synonyms	嘎 嘠
槪	概	jicheng:synonyms	概 槪 槩
疘	肛	jicheng:synonyms	肛 疘
橰	槔	jicheng:synonyms	槔 橰
躳	躬	jicheng:synonyms	躬 躳
観	观	jicheng:synonyms	观 観 觀
広	广	jicheng:synonyms	广 広 廣
帰	归	jicheng:synonyms	归 帰 歸
亀	龟	jicheng:synonyms	龟 亀 龜
瓌	瑰	jicheng:synonyms	瑰 瓌
漢	汉	jicheng:synonyms	汉 漢 漢
猂	悍	jicheng:synonyms	悍 猂
獋	嗥	jicheng:synonyms	嗥 獋
盇	盍	jicheng:synonyms	盍 盇
幑	徽	jicheng:synonyms	徽 幑
絵	绘	jicheng:synonyms	绘 絵 繪
禍	祸	jicheng:synonyms	祸 禍 禍
撃	击	jicheng:synonyms	击 撃 擊
済	济	jicheng:synonyms	济 済 濟
継	继	jicheng:synonyms	继 継 繼
倹	俭	jicheng:synonyms	俭 倹 儉
検	检	jicheng:synonyms	检 検 檢
撹	搅	jicheng:synonyms	搅 撹 攪
節	节	jicheng:synonyms	节 節 節
謹	谨	jicheng:synonyms	谨 謹 謹
経	经	jicheng:synonyms	经 経 經
逈	迥	jicheng:synonyms	迥 逈
埛	炯	jicheng:synonyms	炯 埛
捄	救	jicheng:synonyms	救 捄
勌	倦	jicheng:synonyms	倦 勌
棬	桊	jicheng:synonyms	桊 棬
獧	狷	jicheng:synonyms	狷 獧
睠	眷	jicheng:synonyms	眷 睠
玨	珏	jicheng:synonyms	珏 玨
覚	觉	jicheng:synonyms	觉 覚 覺
哢	咔	jicheng:synonyms	咔 哢
慨	慨	jicheng:synonyms	慨 慨 嘅
嘅	慨	jicheng:synonyms	慨 慨 嘅
埳	坎	jicheng:synonyms	坎 埳
偘	侃	jicheng:synonyms	侃 偘
矙	瞰	jicheng:synonyms	瞰 矙
匟	炕	jicheng:synonyms	炕 匟
敂	叩	jicheng:synonyms	叩 敂
堃	坤	jicheng:synonyms	坤 堃
拡	扩	jicheng:synonyms	扩 拡 擴
瀬	濑	jicheng:synonyms	濑 瀬 瀨
欄	栏	jicheng:synonyms	栏 欄 欄
惏	婪	jicheng:synonyms	婪 惏
覧	览	jicheng:synonyms	览 覧 覽
労	劳	jicheng:synonyms	劳 労 勞
楽	乐	jicheng:synonyms	乐 楽 樂
塁	垒	jicheng:synonyms	垒 塁 壘
涙	泪	jicheng:synonyms	泪 涙 淚
類	类	jicheng:synonyms	类 類 類
茘	荔	jicheng:synonyms	荔 茘
練	练	jicheng:synonyms	练 練 練
猟	猎	jicheng:synonyms	猎 猟 獵
痳	淋	jicheng:synonyms	淋 痳
麐	麟	jicheng:synonyms	麟 麐
齢	龄	jicheng:synonyms	龄 齢 齡
癅	瘤	jicheng:synonyms	瘤 癅
竜	龙	jicheng:synonyms	龙 竜 龍
滝	泷	jicheng:synonyms	泷 滝 瀧
虜	虏	jicheng:synonyms	虏 虜 虜
剹	戮	jicheng:synonyms	戮 剹
売	卖	jicheng:synonyms	卖 売 賣
瞇	眯	jicheng:synonyms	眯 瞇
哶	咩	jicheng:synonyms	咩 哶
瑉	珉	jicheng:synonyms	珉 瑉
冺	泯	jicheng:synonyms	泯 冺
難	难	jicheng:synonyms	难 難 難
悩	恼	jicheng:synonyms	恼 悩 惱
脳	脑	jicheng:synonyms	脑 脳 腦
蜺	霓	jicheng:synonyms	霓 蜺
醸	酿	jicheng:synonyms	酿 醸 釀
孼	孽	jicheng:synonyms	孽 孼
衖	弄	jicheng:synonyms	弄 衖
鴎	鸥	jicheng:synonyms	鸥 鴎 鷗
麅	狍	jicheng:synonyms	狍 麅
頻	频	jicheng:synonyms	频 頻 頻
甁	瓶	jicheng:synonyms	瓶 甁 缾
諐	愆	jicheng:synonyms	愆 諐
銭	钱	jicheng:synonyms	钱 銭 錢
膁	肷	jicheng:synonyms	肷 膁
陗	峭	jicheng:synonyms	峭 陗
琹	琴	jicheng:synonyms	琴 琹
勤	勤	jicheng:synonyms	勤 勤 懃
懃	勤	jicheng:synonyms	勤 勤 懃
唚	吣	jicheng:synonyms	吣 唚
軽	轻	jicheng:synonyms	轻 軽 輕
檾	苘	jicheng:synonyms	苘 檾
臒	癯	jicheng:synonyms	癯 臒
権	权	jicheng:synonyms	权 権 權
勧	劝	jicheng:synonyms	劝 勧 勸
搉	榷	jicheng:synonyms	榷 搉
譲	让	jicheng:synonyms	让 譲 讓
螎	融	jicheng:synonyms	融 螎
騒	骚	jicheng:synonyms	骚 騒 騷
殺	杀	jicheng:synonyms	杀 殺 殺
坰	垧	jicheng:synonyms	垧 坰
虵	蛇	jicheng:synonyms	蛇 虵
摂	摄	jicheng:synonyms	摄 摂 攝
縄	绳	jicheng:synonyms	绳 縄 繩
実	实	jicheng:synonyms	实 実 實
昰	是	jicheng:synonyms	是 昰
柹	柿	jicheng:synonyms	柿 柹
釈	释	jicheng:synonyms	释 釈 釋
獣	兽	jicheng:synonyms	兽 獣 獸
庻	庶	jicheng:synonyms	庶 庻
佀	似	jicheng:synonyms	似 佀
禩	祀	jicheng:synonyms	祀 禩
粛	肃	jicheng:synonyms	肃 粛 肅
牠	它	jicheng:synonyms	它 牠
蹚	趟	jicheng:synonyms	趟 蹚
嗁	啼	jicheng:synonyms	啼 嗁
筩	筒	jicheng:synonyms	筒 筩
図	图	jicheng:synonyms	图 図 圖
臋	臀	jicheng:synonyms	臀 臋
拕	拖	jicheng:synonyms	拖 拕
搨	拓	jicheng:synonyms	拓 搨
囲	围	jicheng:synonyms	围 囲 圍
脗	吻	jicheng:synonyms	吻 脗
啎	忤	jicheng:synonyms	忤 啎
犠	牺	jicheng:synonyms	牺 犠 犧
険	险	jicheng:synonyms	险 険 險
県	县	jicheng:synonyms	县 県 縣
亯	享	jicheng:synonyms	享 亯
響	响	jicheng:synonyms	响 響 響
暁	晓	jicheng:synonyms	晓 暁 曉
緖	绪	jicheng:synonyms	绪 緖 緒
続	续	jicheng:synonyms	续 続 續
楥	楦	jicheng:synonyms	楦 楥
枒	丫	jicheng:synonyms	丫 枒
圧	压	jicheng:synonyms	壓 圧 压
唖	哑	jicheng:synonyms	哑 唖 啞
亜	亚	jicheng:synonyms	亞 亜 亚
厳	严	jicheng:synonyms	严 厳 嚴
殀	夭	jicheng:synonyms	夭 殀
亱	夜	jicheng:synonyms	夜 亱
謁	谒	jicheng:synonyms	谒 謁 謁
吚	咿	jicheng:synonyms	咿 吚
迻	移	jicheng:synonyms	移 迻
訳	译	jicheng:synonyms	译 訳 譯
駅	驿	jicheng:synonyms	驿 駅 驛
囙	因	jicheng:synonyms	因 囙
陻	堙	jicheng:synonyms	堙 陻
応	应	jicheng:synonyms	应 応 應
桜	樱	jicheng:synonyms	樱 桜 櫻
蛍	萤	jicheng:synonyms	萤 蛍 螢
崳	嵛	jicheng:synonyms	嵛 崳
円	圆	jicheng:synonyms	圆 円 圓
簮	簪	jicheng:synonyms	簪 簮
蹧	糟	jicheng:synonyms	糟 蹧
唕	唣	jicheng:synonyms	唣 唕
択	择	jicheng:synonyms	择 択 擇
沢	泽	jicheng:synonyms	泽 沢 澤
贈	赠	jicheng:synonyms	赠 贈 贈
齇	齄	jicheng:synonyms	齄 齇
斎	斋	jicheng:synonyms	斋 斎 齋
戦	战	jicheng:synonyms	战 戦 戰
桟	栈	jicheng:synonyms	栈 桟 棧
淛	浙	jicheng:synonyms	浙 淛
禎	祯	jicheng:synonyms	祯 禎 禎
諸	诸	jicheng:synonyms	诸 諸 諸
猪	猪	jicheng:synonyms	猪 猪 豬
煮	煮	jicheng:synonyms	煮 煑 煮
鋳	铸	jicheng:synonyms	铸 鋳 鑄
転	转	jicheng:synonyms	转 転 轉
譔	撰	jicheng:synonyms	撰 譔
槕	桌	jicheng:synonyms	桌 槕
姉	姊	jicheng:synonyms	姊 姉
縦	纵	jicheng:synonyms	纵 縦 縱
篹	纂	jicheng:synonyms	纂 篹
辠	罪	jicheng:synonyms	罪 辠
罇	樽	jicheng:synonyms	樽 罇
壱	壹	jicheng:synonyms	壱 壹
逸	逸	jicheng:synonyms	逸 逸
仮	假	jicheng:synonyms	仮 假
悔	悔	jicheng:synonyms	悔 悔
海	海	jicheng:synonyms	海 海
喝	喝	jicheng:synonyms	喝 喝
褐	褐	jicheng:synonyms	褐 褐
陥	陷	jicheng:synonyms	陥 陷
祈	祈	jicheng:synonyms	祈 祈
器	器	jicheng:synonyms	器 器
圏	圈	jicheng:synonyms	圏 圈
砕	碎	jicheng:synonyms	砕 碎
祉	祉	jicheng:synonyms	祉 祉
